Restrição de Atendimento,Escola,Código INEP,UF,Município,Localização,Localidade Diferenciada,Categoria Administrativa,Endereço,Telefone,Dependência Administrativa,Categoria Escola Privada,Conveniada Poder Público,Regulamentação pelo Conselho de Educação,Porte da Escola,Etapas e Modalidade de Ensino Oferecidas,Outras Ofertas Educacionais,Latitude,Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,MINISTERIO PENTECOSTAL LUZ DO MUNDO,35009020,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Privada,"AVENIDA CARLOS STELLA NETO, 600 JARDIM MONTE CRISTOPARQUE OZIEL. 13049-001 Campinas - SP.",(19) 988488980,Privada,Filantrópica,Sim,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-22.93838865,-47.08163358
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,AZENHA BERCARIO E RECREACAO DIRIGIDA LTDA,35009059,SP,Campinas,Rural,A escola não está em área de localização diferenciada,Privada,"RUA SAO CARLOS, 182 CASA 188. VILA INDUSTRIAL. 13035-420 Campinas - SP.",(19) 32723710,Privada,Particular,Não,Sim,Até 50 matrículas de escolarização,Educação Infantil,,-22.91235205,-47.06433082
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,IRIS JARDIM DE INFANCIA WALDORF LTDA,35009090,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA FRANCISCO DE BARROS FILHO, 235 BARAO GERALDO. 13084-215 Campinas - SP.",(19) 33818189,Privada,Particular,Não,Sim,Até 50 matrículas de escolarização,Educação Infantil,,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,JARDIM DA INFANCIA BERCARIO E EDUCACAO INFANTIL DEBORA,35009281,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA FRANCISCO GASPAR DA SILVA, 381 JARDIM EULINA. 13063-490 Campinas - SP.",(19) 982251627,Privada,Particular,Não,Sim,Até 50 matrículas de escolarização,Educação Infantil,,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA DE EDUCACAO INFANTIL PEQUENO MUNDO LTDA,35009308,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA OURINHOS, 83 CHACARA DA BARRA. 13090-727 Campinas - SP.",(19) 997097661,Privada,Particular,Não,Sim,Até 50 matrículas de escolarização,Educação Infantil,,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,INSTITUTO DE EDUCACAO INFANTIL PARAISO LTDA,35009329,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA DUQUE DE CAXIAS, 991 CENTRO. 13015-311 Campinas - SP.",(19) 32335311,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COLEGIO ILLUMINARE EPP,35009392,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA ATILIO FOCESI, 116 JARDIM SAO FRANCISCO SOUSAS. 13105-168 Campinas - SP.",(19) 32582772,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,Ensino Fundamental,,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA INFANTIL PEIXINHO DOURADO,35009445,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA AZARIAS DE MELO, 706 TAQUARAL. 13076-008 Campinas - SP.",(19) 32528620,Privada,Particular,Não,Sim,Até 50 matrículas de escolarização,Educação Infantil,,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA LUMIAR CAMPINAS,35009571,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA EMBIRUCU, 244 LOTEAMENTO ALPHAVILLE CAMPINAS. 13098-320 Campinas - SP.",(19) 993070210,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COLEGIO POLIEDRO UNIDADE CENTRO,35009757,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA DELFINO CINTRA, 100 BOTAFOGO. 13020-100 Campinas - SP.",(19) 41411616,Privada,Particular,Não,Sim,Até 50 matrículas de escolarização,Ensino Médio,,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,INCLUSIONE EDUCACIONAL,35009846,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Privada,"AVENIDA JOAO ERBOLATO, 291 JARDIM CHAPADAO. 13070-070 Campinas - SP.",(19) 32131610,Privada,Particular,Não,Sim,Até 50 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,POLICIA MILITAR DE CAMPINAS COLEGIO DA,35104826,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Privada,"SAO LUIS DO PARAITINGA, 1302 RUA. JARDIM DO TREVO. 13030-105 Campinas - SP.",(19) 37729900,Privada,Particular,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,-22.9274582,-47.0713643
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CASA DA CRIANCA MEIMEI,35112501,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Privada,"FRANCISCO JOSE DE CAMARGO ANDRADE, 959 AVENIDA. JARDIM CHAPADAO. 13070-051 Campinas - SP.",(19) 32411622,Privada,Filantrópica,Sim,Sim,Entre 201 e 500 matrículas de escolarização,Educação Infantil,,-22.88177,-47.07304
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,PROGRESSO CAMPINEIRO COLEGIO,35112513,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Privada,"JULIO DE MESQUITA, 840 AVENIDA. CAMBUI. 13025-061 Campinas - SP.",(19) 32113803,Privada,Particular,Não,Sim,Mais de 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",,-22.89837,-47.05591
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,PIO XII COLEGIO DE APLICACAO,35112537,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Privada,"BOAVENTURA DO AMARAL, 354 RUA. CENTRO. 13015-191 Campinas - SP.",(19) 33413183,Privada,Filantrópica,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",,-22.9099938,-47.0520598
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,NOTRE DAME DE CAMPINAS COLEGIO,35112562,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Privada,"EGBERTO FERREIRA DE ARRUDA CAMARGO, 151 RUA. PARQUE DA HIPICA. 13092-621 Campinas - SP.",(19) 21388300,Privada,Filantrópica,Não,Sim,Mais de 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio, Educação Profissional",,-22.8943708,-47.0044715
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,SAGRADO CORACAO DE JESUS COLEGIO,35112574,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Privada,"MANOEL AFONSO FERREIRA DOUTOR, 245 AVENIDA. JARDIM PARAISO. 13100-029 Campinas - SP.",(19) 37532400,Privada,Particular,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",,-22.9075375,-47.0372861
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,NOSSA SRA AUXILIADORA COLEGIO SALESIANO,35112586,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Privada,"GERALDO DE RESENDE BARONESA, 330 RUA. JARDIM NOSSA SENHORA AUXILIADORA. 13075-270 Campinas - SP.",(19) 37446800,Privada,Filantrópica,Não,Sim,Mais de 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",,-22.882813,-47.058137
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ADVENTISTA DE CAMPINAS COLEGIO,35112641,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Privada,"OSCAR LEITE, 55 RUA. PONTE PRETA. 13041-620 Campinas - SP.",(19) 35193800,Privada,Filantrópica,Não,Sim,Mais de 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",,-22.91455056,-47.05404955
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COMUNITARIA DE CAMPINAS ESCOLA,35112689,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Privada,"EGBERTO FERREIRA DE ARRUDA CAMARGO, 650 JARDIM NOTRE DAME. 13092-621 Campinas - SP.",(19) 37588500,Privada,Particular,Não,Sim,Mais de 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",,-22.8914509,-47.0089471
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,SAO JOSE ESCOLA SALESIANA,35112707,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Privada,"PADRE ALMEIDA GARRET, 267 JARDIM NOSSA SENHORA AUXILIADORA. 13075-490 Campinas - SP.",(19) 37443000,Privada,Filantrópica,Não,Sim,Mais de 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio, Educação Profissional",,-22.8736523,-47.0654942
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,FARROUPILHA COLEGIO,35112732,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Privada,"FERNAO LOPES, 1420 1346. PARQUE TAQUARAL. 13087-051 Campinas - SP.",(19) 32417811,Privada,Particular,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,,-22.8694542,-47.0615357
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,MADRE CECILIA COLEGIO,35112756,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Privada,"AVENIDA CORONEL SILVA TELES, 700 AVENIDA. CAMBUI. 13024-001 Campinas - SP.",(19) 37514063,Privada,Filantrópica,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",,-22.893988,-47.0508396
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,FRANCISCANO AVE MARIA COLEGIO,35112768,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Privada,"JAGUARA BARAO, 190 RUA. BOSQUE. 13026-099 Campinas - SP.",(19) 21369933,Privada,Filantrópica,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",,-22.9121493,-47.0548271
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,IMACULADA INSTITUTO EDUCACIONAL,35112773,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Privada,"ITAPURA BARAO, 1735 AVENIDA. BOTAFOGO. 13020-433 Campinas - SP.",(19) 32317911,Privada,Filantrópica,Não,Sim,Mais de 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",,-22.889964,-47.0623148
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,SESI 403 CENTRO EDUCACIONAL,35112859,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Privada,"AMOREIRAS, 450 AVENIDA. PARQUE ITALIA. 13036-225 Campinas - SP.",(19) 37724100,Privada,Particular,Não,Sim,Entre 501 e 1000 matrículas de escolarização,Ensino Médio,,-22.915662266314,-47.0688015595078
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,JULIO CHEVALIER INSTITUTO,35112872,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Privada,"SALES DE OLIVEIRA DOUTOR, 2000 RUA. VILA INDUSTRIAL. 13035-500 Campinas - SP.",(19) 37722840,Privada,Particular,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-22.90787,-47.07853
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA DE EDUCACAO BASICA E PROFISSIONAL FUNDACAO BRADESCO,35112884,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Privada,"AVENIDA WELLMAN GALVAO DE FRANCA RANGEL, 2000 SWISS PARK. 13049-254 Campinas - SP.",(19) 32680144,Privada,Filantrópica,Não,Sim,Mais de 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio, Educação Profissional",,-22.96533443,-47.07881231
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,DOM BARRETO COLEGIO,35112896,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Privada,"SAUDADE, 705 AVENIDA. PONTE PRETA. 13041-670 Campinas - SP.",(19) 32324366,Privada,Filantrópica,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",,-22.91906962,-47.05331879
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,RIO BRANCO COLEGIO,35112902,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Privada,"CECILIA FERES ZOGBI, SN RUA. BARAO GERALDO. 13084-140 Campinas - SP.",(19) 33031250,Privada,Particular,Não,Sim,Mais de 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",,-22.8270509,-47.0750572
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,RENOVATUS COLEGIO E E I BRANCA DE NEVE,35112926,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Privada,"VINTE E QUATRO DE MAIO, 731 RUA. VILA INDUSTRIAL. 13035-370 Campinas - SP.",(19) 32728699,Privada,Particular,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",,-22.9104269,-47.074129
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,OBJETIVO COLEGIO DE CAMPINAS UNIDADE BARAO GERALDO,35118084,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Privada,"JOAO PEDROSO, 265 RUA. ARRUAMENTO FAIN JOSE FERES. 13084-583 Campinas - SP.",,Privada,Particular,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",,-22.8201715,-47.08527
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,VISCONDE DE SABUGOSA EEI,35118965,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Privada,"JOSE BONIFACIO, 837 AVENIDA. JARDIM FLAMBOYANT. 13091-140 Campinas - SP.",(19) 32554522,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-22.88595,-47.03079
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,SITIO ESCOLA DO,35121009,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Privada,"UIRAPURU, 820 RUA. JARDIM SAO GONCALO. 13082-706 Campinas - SP.",(19) 32891440,Privada,Particular,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-22.833704,-47.0924995
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CASA DA GENTE ESCOLA EDUC INFANTIL,35123031,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Privada,"DOUTOR JESUINO MARCONDES MACHADO, 1001 NOVA CAMPINAS. 13092-108 Campinas - SP.",(19) 32534241,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-22.8979548963335,-47.0434896489743
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,BRASINHA CENTRO DE EDUCACAO INFANTIL,35123043,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Privada,"LUIZ DALINCOURT, 288 RUA. BOSQUE. 13026-040 Campinas - SP.",(19) 32529200,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-22.9084567213644,-47.046557497277
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ATIVA ESCOLA EDUCACAO INFANTIL E PG,35123079,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Privada,"ORQUIDEAS, 15 RUA. CHACARA PRIMAVERA. 13087-430 Campinas - SP.",(19) 32567635,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-22.8625829,-47.0483732
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,JAIME KRATZ INSTITUTO EDUCACIONAL,35123080,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Privada,"DOMINGOS GIOVANINI PADRE, 187 RUA. PARQUE TAQUARAL. 13087-310 Campinas - SP.",(19) 32121838,Privada,Particular,Não,Sim,Mais de 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",,-22.8675515,-47.0607247
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CASA DO SABER COLEGIO,35123754,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA DOM HUMBERTO MAZZONE, 10 RUA. VILA PADRE ANCHIETA. 13068-323 Campinas - SP.",(19) 32812132,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",,-22.86374918,-47.15056933
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,SESI 421 CENTRO EDUCACIONAL,35124473,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Privada,"ARY RODRIGUES, 200 AVENIDA. PARQUE CAMELIAS. 13052-550 Campinas - SP.",(19) 37659210,Privada,Particular,Não,Sim,Entre 501 e 1000 matrículas de escolarização,Ensino Fundamental,,-22.9739366666667,-47.10074
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,BENTO QUIRINO COLEGIO POLITECNICO UNIDADE II,35125568,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Privada,"JOSE DE ALENCAR, 430 RUA. CENTRO. 13013-040 Campinas - SP.",(19) 37373294,Privada,Particular,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional",,-22.9099562,-47.0596102
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,FUTURA ESCOLA DE EDUCACAO BASICA,35126846,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Privada,"GUARANI, 405 AVENIDA. JARDIM GUARANI. 13100-211 Campinas - SP.",(19) 32530346,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,-22.9150073,-47.0421194
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,VERTICAL COLEGIO,35128797,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Privada,"ANTONIO CARLOS COUTO DE BARROS, 426 AVENIDA. JARDIM CONCEICAO SOUSAS. 13105-000 Campinas - SP.",(19) 32583685,Privada,Comunitária,Não,Sim,Até 50 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-22.8806772,-46.9703042
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CPQ MARTINS CENTRO ASSISTENCIAL,35130312,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Privada,"HELENA STEIMBERG, 1411 RUA. JARDIM SAO CARLOS. 13092-481 Campinas - SP.",(19) 33671961,Privada,Filantrópica,Sim,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-22.90075,-47.03682
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,OBJETIVO DE CAMPINAS COLEGIO UNIDADE CAMBUI,35131982,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Privada,"FRANCISCO DE PAULA CAPITAO, 333 RUA. CAMBUI. 13024-450 Campinas - SP.",(19) 32546333,Privada,Particular,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,-22.8901038,-47.047902
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EDUCAP COLEGIO,35131994,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Privada,"LEOPOLDINA IMPERATRIZ, 357 AVENIDA. VILA NOVA. 13073-035 Campinas - SP.",(19) 37445246,Privada,Particular,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",,-22.88155,-47.06943
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,DOCTUS COLEGIO UNIDADE I,35132248,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Privada,"PINTO FERRAZ DOUTOR, 668 RUA. SAO BERNARDO. 13030-500 Campinas - SP.",(19) 32720396,Privada,Particular,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-22.9262684,-47.074062
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CURUMIM ESCOLA EDUC INF E ENS FUNDAMENTAL,35132263,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Privada,"SANTA MARIA ROSSELO, 141 RUA. MANSOES SANTO ANTONIO. 13087-503 Campinas - SP.",(19) 32562648,Privada,Particular,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-22.84901,-47.05546
